Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,label,home_form,away_form,form_diff,home_wform,away_wform,wform_diff,home_adj_form,away_adj_form,adj_form_diff,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg,scored_diff,conceded_diff,h2h_dominance,home_elo,away_elo,elo_diff,home_sot_avg,away_sot_avg,sot_diff,home_rest,away_rest,rest_diff,home_season_gd,away_season_gd,season_gd_diff,home_ppg,away_ppg,ppg_diff,home_venue_form,away_venue_form,venue_form_diff,home_cs_rate,away_cs_rate,cs_diff,home_win_streak,away_win_streak,win_streak_diff,home_loss_streak,away_loss_streak,loss_streak_diff
2015/16,2015-08-08,Bournemouth,Aston Villa,0,1,A,2,1.0,1.0,0.0,1.0,1.0,0.0,1.5,1.5,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.0,1500.0,1500.0,0.0,2.0,2.0,0.0,7,7,0,0,0,0,1.5,1.5,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0,0,0,0,0,0
2015/16,2015-08-08,Chelsea,Swansea City,2,2,D,1,1.0,1.0,0.0,1.0,1.0,0.0,1.5,1.5,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.0,1500.0,1500.0,0.0,2.0,2.0,0.0,7,7,0,0,0,0,1.5,1.5,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0,0,0,0,0,0
2015/16,2015-08-08,Everton,Watford,2,2,D,1,1.0,1.0,0.0,1.0,1.0,0.0,1.5,1.5,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.0,1500.0,1500.0,0.0,2.0,2.0,0.0,7,7,0,0,0,0,1.5,1.5,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0,0,0,0,0,0
2015/16,2015-08-08,Leicester City,Sunderland,4,2,H,0,1.0,1.0,0.0,1.0,1.0,0.0,1.5,1.5,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.0,1500.0,1500.0,0.0,2.0,2.0,0.0,7,7,0,0,0,0,1.5,1.5,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0,0,0,0,0,0
2015/16,2015-08-08,Manchester United,Tottenham,1,0,H,0,1.0,1.0,0.0,1.0,1.0,0.0,1.5,1.5,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.0,1500.0,1500.0,0.0,2.0,2.0,0.0,7,7,0,0,0,0,1.5,1.5,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0,0,0,0,0,0
2015/16,2015-08-08,Norwich City,Crystal Palace,1,3,A,2,1.0,1.0,0.0,1.0,1.0,0.0,1.5,1.5,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.0,1500.0,1500.0,0.0,2.0,2.0,0.0,7,7,0,0,0,0,1.5,1.5,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0,0,0,0,0,0
2015/16,2015-08-09,Arsenal,West Ham,0,2,A,2,1.0,1.0,0.0,1.0,1.0,0.0,1.5,1.5,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.0,1500.0,1500.0,0.0,2.0,2.0,0.0,7,7,0,0,0,0,1.5,1.5,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0,0,0,0,0,0
2015/16,2015-08-09,Newcastle United,Southampton,2,2,D,1,1.0,1.0,0.0,1.0,1.0,0.0,1.5,1.5,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.0,1500.0,1500.0,0.0,2.0,2.0,0.0,7,7,0,0,0,0,1.5,1.5,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0,0,0,0,0,0
2015/16,2015-08-09,Stoke City,Liverpool,0,1,A,2,1.0,1.0,0.0,1.0,1.0,0.0,1.5,1.5,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.0,1500.0,1500.0,0.0,2.0,2.0,0.0,7,7,0,0,0,0,1.5,1.5,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0,0,0,0,0,0
2015/16,2015-08-10,West Bromwich,Manchester City,0,3,A,2,1.0,1.0,0.0,1.0,1.0,0.0,1.5,1.5,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.0,1500.0,1500.0,0.0,2.0,2.0,0.0,7,7,0,0,0,0,1.5,1.5,0.0,1.0,1.0,0.0,0.3,0.3,0.0,0,0,0,0,0,0
2015/16,2015-08-14,Aston Villa,Manchester United,0,1,A,2,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1510.0,1510.0,0.0,3.0,1.0,2.0,6,6,0,1,1,0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0
